IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,erefincr.com,,Block,,JSB IOC,AiTM,,,,,False
DomainName,bbnsolucoes.com.br,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,cloudflare-ipfs.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,veterinariamontilla.com.ar,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,sumampatraslados.com.ar,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,storjshare.io,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,e5fdfd8e485933768a0ca11e.workers.dev,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,carmiten.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,dueleidi.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,rullbullpullpushcndapp.web.app,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,kute.pw,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,fynn81.workers.dev,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,activeonlinemailuelmanagment.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,jimdosite.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,mouexii.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,copefood.xyz,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,dragnsurvey.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,reviewandbuy.net,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,dboxadobodtdr.online,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,9ecdd17f2bf9e0b6f8d26584.workers.dev,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,0auth-signrenewcredentials.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,docxservice110365.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,v0wfoeirtshwala-factuugroup.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,False
DomainName,legance7.com,,Block,,JSB IOC,AiTM,,,,,False
DomainName,87650975.online,,Block,,JSB IOC,AiTM,,,,,False
DomainName,Stratwood-gs.ro,,Block,,JSB IOC,AiTM,,,,,False
DomainName,blackgreekwebsites.com,,Block,,JSB IOC,AiTM,,,,,False
DomainName,digidip.in ,,Block,,JSB IOC,Potentially malicious,,,,,False
DomainName,nvnire42.top,,Block,,JSB IOC,AiTM,,,,,False
DomainName,unolyst.com,,Block,,JSB IOC,AiTM,,,,,False
DomainName,coperationcompany.xyz,,Block,,JSB IOC,Potentially malicious,,,,,False
DomainName,investigacao.net,,Block,,JSB IOC,Potentially malicious,,,,,False
DomainName,linkedinrecruiterportal.com,,Block,,AITM,AITM,,,,,False
DomainName,88mansession.com,,Block,,AITM,AITM,,,,,False
DomainName,powerashlgingeleski.online,,Block,,AITM,AITM,,,,,False
DomainName,maknastudio.com,,Block,,AITM,AITM,,,,,False
DomainName,vvtxxrz.online,,Block,,Low Tier Phish,Low Tier Phish,,,,,False
DomainName,valleymoid.online,,Block,,AITM,AiTM,,,,,False
DomainName,varncouver.online,,Block,,AITM,AiTM,,,,,False
DomainName,wemerelectric.com,,Block,,AITM,AiTM,,,,,False
DomainName,cornpounding.us,,Block,,AITM,AiTM,,,,,False
DomainName,37dc8cc1.b8e1083cad63e5cf64afc41c.workers.dev,,Block,,AITM,AiTM,,,,,False
DomainName,welshtravelled.ru,,Block,,AITM,AiTM,,,,,False
DomainName,skinsense.com.pk,,Block,,AITM,AiTM,,,,,False
DomainName,welshtravelled.ru,,Block,,AITM,AiTM,,,,,False
DomainName,424faf3c.2e39444c6a4ff5f5ff5e48b3.workers.dev,,Block,,AITM,AiTM,,,,,False
DomainName,inoliketowastetimeoo.pages.dev,,Block,,AITM,AiTM,,,,,False
DomainName,ponteourenseclubdefutbolsad.com,,Block,,AITM,AiTM,,,,,False
DomainName,lesrencontresdesterritoiresdurables.com,,Block,,AITM,AiTM,,,,,False
DomainName,0d59c01b.0311d858c128021ca065f85c.workers.dev,,Block,,AITM,AiTM,,,,,False
DomainName,hxlhy001.xyz,,Block,,AITM,AiTM,,,,,False
DomainName,0d59c01b.0311d858c128021ca065f85c.workers.dev,,Block,,AITM,AiTM,,,,,False
DomainName,proadeop.su,,Block,,AITM,AiTM,,,,,False
DomainName,iysgrouphome.com,,Block,,AITM,AiTM,,,,,False
DomainName,0d59c01b.0311d858c128021ca065f85c.workers.dev,,Block,,AITM,AiTM,,,,,False
