IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,iiiii.info,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,uberlingen.com,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,ignorelist.com,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,signin-ym.quest,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,mnlp.quest,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,oso-usps.com,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,port0.org,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,0rg.us,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,p-e.kr,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,o-r.kr,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,youramys.com ,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,False
DomainName,coralcleary.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,emiliafalk.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,uckldadoaierbex.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,joanapatterson.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ylunndoiclrdaa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,dscgs8xo.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,slrheeibtuebsid.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,aybnmmtiluah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,uerupmmllyd.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,leacshlenmmdgza.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ylunndoiclrdaa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,slrheeibtuebsid.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,yralecaeaghnrsn.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,88d2jrux.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,teairncakli.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,oednlakueupsap.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,aybnmmtiluah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,debra1027.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,lwvemrlaensi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,slrheeibtuebsid.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jamar1026.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,epd5tuee.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,anotudhoeah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,cullen1015.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jamar1026.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,esalasaimr-c19.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,eoethehorbmnlkntua.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,lwvemrlaensi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ieislnqveulte.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,larerercgbanelu.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,esalasaimr-c19.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,so3yeui8.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,esalasaimr-c19.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,tlavaeonryersvs.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ieislnqveulte.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,yralecaeaghnrsn.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,aybnmmtiluah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,aybnmmtiluah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jamar1026.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jalincrowe.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,uriahmontague.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,emiliafalk.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,debra1027.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,lexiegamboa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ecormllhoi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,citlaliheck.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,leacshlenmmdgza.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,itrlcuvapioelcr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,joanapatterson.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,uriahmontague.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,emiliafalk.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,kasrhienddnhasae.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,lexiegamboa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,lwvemrlaensi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,cullen1015.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,alessandraquinn.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,sbretasaheliba.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,nuiblalrlewln.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,nganarxnksoroo.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,eniatolitse.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,aardhnrscidcahr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,epd5tuee.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,tierfaitneuro.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,joanapatterson.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,aardhnrscidcahr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,uriahmontague.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,dscgs8xo.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,iodoeamnnsc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,itrlcuvapioelcr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ylunndoiclrdaa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,so3yeui8.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,naacraleindir.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,nganarxnksoroo.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,itrlcuvapioelcr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,alessandraquinn.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,nswoadaas.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,tyron1133.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,tyron1133.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,eleutamdcdla.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,eleutamdcdla.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,esalasaimr-c19.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,lwvemrlaensi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,epd5tuee.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,elrtuearsddecul.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,wl5n4b9b.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,oednlakueupsap.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,sbretasaheliba.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,karsonjacobsen.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,oednlakueupsap.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,oednlakueupsap.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,anotudhoeah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ecormllhoi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,yralecaeaghnrsn.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,citlaliheck.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,uckldadoaierbex.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,dnayipmrindk.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,caileymcclendon.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,uckldadoaierbex.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
