IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,hangouts.google.com,,Warn,Low,Chat application,Chat application,,,,,False
DomainName,talk.google.com,,Warn,Low,Chat application,Chat application,,,,,False
DomainName,messenger.com,,Block,Low,Chat application,Chat application,,,,,False
DomainName,nheko-reborn.github.io,,Block,Informational,Chat Application,Chat Application,,,,,False
DomainName,trillian.im,,Block,Low,Chat application,Chat application,,,,,False
DomainName,loom.com,,Block,Low,Chat application,Chat application,,,,,False
DomainName,matrix.org,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,element.io,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,meetfranz.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,telegram.org,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,t.me,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,telegram.me,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,telegram-cdn.org,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,telesco.pe,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,discord.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,discordapp.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,discordsays.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,betterdiscord.app,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,cancel.fm,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,guilded.gg,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,jami.net,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,line.me,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,linecorp.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,line.biz,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,line-apps.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,line.naver.jp,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,line-scdn.net,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,line-website.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,linepluscorp.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,getsession.org,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,signal.org,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,whispersystems.org,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,wechat.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,teamspeak.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,whatsapp.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,whatsapp.net,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,viber.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,viber.en,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,wickr.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,mirc.co.uk,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,oovoo.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,pidgin.im,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,snapchat.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,chaturbate.com,,Block,Low,Chat application,Chat application,,,,,False
DomainName,stripchat.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,kik.com,,Block,Informational,Chat application,Chat application,,,,,False
DomainName,ometv.chat,,Block,Low,Chat application,Chat application,,,,,False
DomainName,kakaocorp.com,,Block,Low,Chat application,Chat application,,,,,False
DomainName,tox.chat,,Block,Low,Chat application,Chat application,,,,,False
DomainName,threema.ch,,Block ,Low,Chat application,Chat application,,,,,False
DomainName,beeper.com,,Block ,Low,Chat application,Chat application,,,,,False
DomainName,icq.com,,Block,Low,Chat application,Chat application,,,,,False
DomainName,chatdate.app,,Block,Low,Chat application,Chat application,,,,,False
DomainName,chatroulette.com,,Block,Low,Chat application,Chat application,,,,,False
DomainName,roulette.chat,,Block,Low,Chat application,Chat application,,,,,False
DomainName,wechat.com,,Block,Low,Chat application,Chat application,,,,,False
DomainName,paltalk.com,,Block,Low,Chat application,Chat application,,,,,False
