IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,invity.io,,Block,Informational,Crypto,Crypto,,,,,False
DomainName,bitpay.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,paybis.com,,Block,Informational,Crypto,Crypto,,,,,False
DomainName,nexo.com,,Block,Informational,Crypto,Crypto,,,,,False
DomainName,cex.io,,Block,Low,Crypto,Crypto,,,,,False
DomainName,eapcg.cn,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cudominer.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,xmrig.com,,Block ,Low,Crypto,Crypto,,,,,False
DomainName,htx.com,,Block ,Low,Crypto,Crypto,,,,,False
DomainName,coinbase.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,coindesk.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,crypto.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptowallet.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,tacocrypto.io,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptomus.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptorank.io,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptowheel.net,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptobubbles.net,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptopotato.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,keplr.app,,Block,Low,Crypto,Crypto,,,,,False
DomainName,exodus.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,coinstats.app,,Block,Low,Crypto,Crypto,,,,,False
DomainName,ledger.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptohopper.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,koinly.io,,Block,Low,Crypto,Crypto,,,,,False
DomainName,mycrypto.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,kraken.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,kucoin.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,binance.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,yobit.net,,Block,Low,Crypto,Crypto,,,,,False
DomainName,okx.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,minergate.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptoguru.org,,Block,Low,Crypto,Crypto,,,,,False
DomainName,nicehash.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,foxypool.cf,,Block,Low,Crypto,Crypto,,,,,False
DomainName,coinlab.biz,,Block,Low,Crypto,Crypto,,,,,False
DomainName,btcc.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptohosting.eu,,Block,Low,Crypto,Crypto,,,,,False
DomainName,bitcoin.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,minero.pw,,Block,Low,Crypto,Crypto,,,,,False
DomainName,vvpool.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,zzqhsrg.ru,,Block,Low,Crypto,Crypto,,,,,False
DomainName,bitfex.trade,,Block,Low,Crypto,Crypto,,,,,False
DomainName,crypit.net,,Block,Low,Crypto,Crypto,,,,,False
DomainName,fixedtradecoin.org,,Block,Low,Crypto,Crypto,,,,,False
DomainName,angrypool.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,nanopool.org,,Block,Low,Crypto,Crypto,,,,,False
DomainName,antpool.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,coinpoolit.webhop.me,,Block,Low,Crypto,Crypto,,,,,False
DomainName,gethash.cc,,Block,Low,Crypto,Crypto,,,,,False
DomainName,nownodes.io,,Block,Low,Crypto,Crypto,,,,,False
DomainName,2miners.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,2miners.ru ,,Block,Low,Crypto,Crypto,,,,,False
DomainName,coin-hive.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,bitkitten.xyz,,Block,Low,Crypto,Crypto,,,,,False
DomainName,blockchainmeup.org,,Block,Low,Crypto,Crypto,,,,,False
DomainName,hashpool.cc,,Block,Low,Crypto,Crypto,,,,,False
DomainName,hashhot.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,Letshash.online,,Block,Low,Crypto,Crypto,,,,,False
DomainName,crypit.net,,Block,Low,Crypto,Crypto,,,,,False
DomainName,herominers.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,leafpool.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptonote.club,,Block,Low,Crypto,Crypto,,,,,False
DomainName,kryptochaos.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,coinstop.me,,Block,Low,Crypto,Crypto,,,,,False
DomainName,happyminer.eu,,Block,Low,Crypto,Crypto,,,,,False
DomainName,k1pool.como,,Block,Low,Crypto,Crypto,,,,,False
DomainName,luckypool.io,,Block,Low,Crypto,Crypto,,,,,False
DomainName,bitfex.trade,,Block,Low,Crypto,Crypto,,,,,False
DomainName,solopool.org,,Block,Low,Crypto,Crypto,,,,,False
DomainName,fairpool.cloud,,Block,Low,Crypto,Crypto,,,,,False
DomainName,asicminer.co,,Block,Low,Crypto,Crypto,,,,,False
DomainName,althash.eu,,Block,Low,Crypto,Crypto,,,,,False
DomainName,coinminerz.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,bytecoins.world,,Block,Low,Crypto,Crypto,,,,,False
DomainName,spookypool.nl,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptopia.co.nz,,Block,Low,Crypto,Crypto,,,,,False
DomainName,fairhash.org,,Block,Low,Crypto,Crypto,,,,,False
DomainName,fairpool.cloud,,Block,Low,Crypto,Crypto,,,,,False
DomainName,fairpool.xyz,,Block,Low,Crypto,Crypto,,,,,False
DomainName,jsecoin.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptopotato.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,monero.fail,,Block,Low,Crypto,Crypto,,,,,False
DomainName,ncwallet.net,,Block,Low,Crypto,Crypto,,,,,False
DomainName,walletconnect.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptobatz.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,etherscan.io,,Block,Low,Crypto,Crypto,,,,,False
DomainName,blockscan.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,coingecko.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,ethereum.org,,Block,Low,Crypto,Crypto,,,,,False
DomainName,cryptopunks.app,,Block,Low,Crypto,Crypto,,,,,False
DomainName,xcadnetwork.com,,Block,Low,Crypto,Crypto,,,,,False
DomainName,verawallet.io,,Block,Low,Crypto,Crypto,,,,,False
DomainName,coinglass.com,,Block,Low,Crypto,Crypto,,,,,False
