IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,onedrivew.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,False
DomainName,xn--oredive-zob.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrie-3t2c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrie-6e4c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrie-cr7e.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrie-f41c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrie-nf4c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrie-nq7e.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-27a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-8xa.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-g9a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-h8c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-hya.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-j8a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-m1c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-pya.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-tr3c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-w9a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-xs4c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-xya.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredriv-z8a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-1db.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-3ya.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-6gd.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-7gc.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-cza.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-ffb.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-fhd.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-ieb.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-jw4c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-kza.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-puc.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-sza.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-vfb.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-yeb.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-ygd.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--oredrve-zw4c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--orerive-0cd.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--orerive-16a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--orerive-1n3c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--orerive-fp3c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--orerive-i7a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--orerive-io3c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--orerive-scd.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--orerive-vp3c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--orerive-yo3c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-00a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-1mb.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-4lb.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-80a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-bx4c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-c0a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-c5b.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-d01c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-k0a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-lmb.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-p1a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-rx4c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-s0a.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,xn--redrive-s2c.com,,Block,,Dnstwist homoglyph,Reason for DNSTwist Block: homoglyph,,,,,False
DomainName,one-drive.com,,Block,,Dnstwist hyphenation,Reason for DNSTwist Block: hyphenation,,,,,False
DomainName,o-nedrive.com,,Block,,Dnstwist hyphenation,Reason for DNSTwist Block: hyphenation,,,,,False
DomainName,on-edrive.com,,Block,,Dnstwist hyphenation,Reason for DNSTwist Block: hyphenation,,,,,False
DomainName,oned-rive.com,,Block,,Dnstwist hyphenation,Reason for DNSTwist Block: hyphenation,,,,,False
DomainName,onedr-ive.com,,Block,,Dnstwist hyphenation,Reason for DNSTwist Block: hyphenation,,,,,False
DomainName,onedri-ve.com,,Block,,Dnstwist hyphenation,Reason for DNSTwist Block: hyphenation,,,,,False
DomainName,onedriv-e.com,,Block,,Dnstwist hyphenation,Reason for DNSTwist Block: hyphenation,,,,,False
DomainName,onedreive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,ondedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onesdrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onexdrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onederive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onefdrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,oneddrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,oneedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onerdrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedribve.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrivbe.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrivce.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,obnedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,ohnedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,ojnedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,omnedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,on3edrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,on4edrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onbedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,one3drive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,one4drive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onecdrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,oned4rive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,oned5rive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedcrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedfrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedr4ive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedr5ive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedr8ive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedr9ive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrdive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrfive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedri8ve.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedri9ve.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedricve.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrifve.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrigve.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrijve.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrikve.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedriove.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedriuve.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrivfe.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrivge.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrjive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrkive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedroive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedrtive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedruive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedsrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedtrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onedxrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onewdrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onezdrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onhedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onjedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onmedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onredrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onsedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onwedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,onzedrive.com,,Block,,Dnstwist insertion,Reason for DNSTwist Block: insertion,,,,,False
DomainName,nedrive.com,,Block,,Dnstwist omission,Reason for DNSTwist Block: omission,,,,,False
DomainName,onedrie.com,,Block,,Dnstwist omission,Reason for DNSTwist Block: omission,,,,,False
DomainName,onedriv.com,,Block,,Dnstwist omission,Reason for DNSTwist Block: omission,,,,,False
