IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,wetransfer.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,notion.so,,Block,Informational,File Transfer,Unsanctioned Notion Sometimes used to proxy malicious Links in environment,Unsanctioned,,,,False
DomainName,evernote.com,,Block,Informational,File Transfer,Unsanctioned Evernote Sometimes used to proxy malicious Links in environment,Unsanctioned,,,,False
DomainName,bitbucket.org,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,False
DomainName,dropbox.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned.IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,,,True
DomainName,sendtodropbox.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,,,True
DomainName,dropboxdocs.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,,,True
DomainName,dropboxmail.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,,,True
DomainName,drive.google.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned.IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,,,True
DomainName,box.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,,,True
DomainName,docsend.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,,,True
DomainName,pastebin.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,justpaste.it,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,kpaste.net,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,dpaste.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,zerobin.tk,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,send.vis.ee,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,bin.sx,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,transferxl.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,transfertpro.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,transfernow.net ,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
DomainName,paste.debian.net,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,False
