IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,fitgirl-repacks.site,,Block,Informational,Unsanctioned: Gaming/Piracy,Unsanctioned: Gaming/Piracy,Unsanctioned,,,,False
DomainName,gazellegames.net,,Block,Informational,Unsanctioned: Gaming/Piracy,Unsanctioned: Gaming,Unsanctioned,,,,False
DomainName,r2games.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned: Gaming/Piracy,Unsanctioned,,,,False
DomainName,sharemods.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,kingmods.net,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,iwantplay.games,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,axieinfinity.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,krunker.io,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,games-4-free.co.uk,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,cpchapter2.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,cplegacy.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,cpjourney.net,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,newcp.net,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,crazygames.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,epicgames.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,runescape.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,poki.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,now.gg,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,tribalwars.net,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,blankmediagames.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,g123.jp,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,cygames.co.jp,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,armorgames.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,totalbattle.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,travian.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,battleon.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,fsgames.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,konkr.io,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,miniclip.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,h5games.online,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,games-4-free.co.uk,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,newgamesbox.net,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,pcgameszone.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
DomainName,rgmechanics.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,False
