IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,360skynews.com,,Block,Informational,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,9inenews.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,a.quartzquester.top,,Block,Informational,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,aampdecor.com,,Block,Informational,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,abbott-sonspartyrental.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,abcohvacr.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,accessspectrum.net,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,acpresse.fr,,Block ,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,adventuresome.in,,Block ,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,affili8.com.au,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,afriagrimagazine.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,afulibl.org,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,aicapitalinmobiliaria.cl,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,airdoctor.hu,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,ajbnews.co.uk,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,ajeg.co.id,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,ajitbakery.in,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,alamaison-home.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,albaniandf.org,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,alboronational.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,alhattabholding.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,alliance.ind.br,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,almenhad.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,amazinggraceldn.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,ameri100.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,aminofanz.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,andrettaorganizer.com.br,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,animexin.vip,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,anonymousproductionassistant.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,appointments.invisiondiagnostics.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,aquaboulevard.fr,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
DomainName,aquario.com.br,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,False
