IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,lonseal.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/lonseal.com
Tool written by jkerai1",,,,,False
DomainName,econsult.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/econsult.com
Tool written by jkerai1",,,,,False
DomainName,leecorpinc.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/leecorpinc.com
Tool written by jkerai1",,,,,False
DomainName,qbcqatar.com.qa,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/qbcqatar.com.qa
Tool written by jkerai1",,,,,False
DomainName,jhillburn.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/jhillburn.com
Tool written by jkerai1",,,,,False
DomainName,sfjazz.org,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/sfjazz.org
Tool written by jkerai1",,,,,False
DomainName,smart-swgcrc.org,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/smart-swgcrc.org
Tool written by jkerai1",,,,,False
DomainName,kriegerklatt.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/kriegerklatt.com
Tool written by jkerai1",,,,,False
DomainName,mybps.us,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/mybps.us
Tool written by jkerai1",,,,,False
DomainName,sgl.co.th,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/sgl.co.th
Tool written by jkerai1",,,,,False
DomainName,umchealth.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/umchealth.com
Tool written by jkerai1",,,,,False
DomainName,mitchcointernational.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/mitchcointernational.com
Tool written by jkerai1",,,,,False
DomainName,tedpella.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/tedpella.com
Tool written by jkerai1",,,,,False
DomainName,macuspana.gob.mx,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/macuspana.gob.mx
Tool written by jkerai1",,,,,False
DomainName,phitoformulas.com.br,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/phitoformulas.com.br
Tool written by jkerai1",,,,,False
DomainName,s3groupltd.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/s3groupltd.com
Tool written by jkerai1",,,,,False
DomainName,cloudtopoffice.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/cloudtopoffice.com
Tool written by jkerai1",,,,,False
DomainName,cochraninc.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/cochraninc.com
Tool written by jkerai1",,,,,False
DomainName,equip-reuse.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/equip-reuse.com
Tool written by jkerai1",,,,,False
