IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,intwrs-rms.org  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,nqanmsnmk.xyz  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,century21ocean.com ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,possible.network  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,jarramn.live  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,936494-session.org ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,disquis.it  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,technique.icu  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,jorimthk.xyz ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,emincan.sumer.me  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,expressing.link  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,unlike.digital ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,bremac.co.ke  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,institution.top  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,empirical.host ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,rectumkal.click  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,gsjsmk.click  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,subnet.sbs ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,nbatmjgf.live  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,reytorogroup.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,drlairribeiro.com ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,parrtnmal.click  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,vanesagalli.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,packets.icu ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,mysexdollscanada.ca  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,supercomputer.buzz  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,calldrlam.com ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,baritronics.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,theitalianfactory.eu  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,couchand.com ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,ahsnskdfn.network  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,iranmehrholding.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,omajksl.click ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,khoavuaudio.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,mysuosessui-intp.org  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,pub-6ae0497c224b4ee497b9d8906da627d5.r2.dev ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,high822754177219-tech.link  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,pipe-bending-systems.tv  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,needbr.cloud ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
DomainName,ryanstouffer.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,False
