IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,coralcleary.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,jayden1077.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,nganarxnksoroo.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,larerercgbanelu.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,nganarxnksoroo.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,larerercgbanelu.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,lleabtiswhe.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,caileymcclendon.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ylunndoiclrdaa.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,dnayipmrindk.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,so3yeui8.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,djuleircendku.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,nswoadaas.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ptakptasyenlki.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,itrlcuvapioelcr.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,rglegagaoali.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,caileymcclendon.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,caileymcclendon.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,citlaliheck.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,pchgpwahni.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,9kgfjtlv.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,ecormllhoi.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,leacshlenmmdgza.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,slrheeibtuebsid.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,epd5tuee.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,tlavaeonryersvs.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,einureqbaftjc.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
DomainName,citlaliheck.workers.dev,,,,Netskope IOCs,Netskope IOCs,,,,,False
