IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
Url,BBC.co.uk/iplayer,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,itv.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,channel4.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,channel5.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Disneyplus.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Paramountplus.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Universalplus.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Netflix.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
Url,https://www.amazon.co.uk/gp/video,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
Url,https://www.amazon.com/gp/video,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
Url,https://www.amazon.co.uk/Amazon-Video,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
Url,https://www.amazon.com/Amazon-Video,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,nowtv.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,go.sky.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
Url,https://www.sky.com/watch/sky-go,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,https://virgintvgo.virginmedia.com/,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,hulu.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,cc.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,comedycentral.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,uktv.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,corporate.uktv.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,justwatch.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Britbox.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Roku.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Pluto.tv,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Tubitv.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,plex.tv,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,jellyfin.org,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,stremio.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,kodi.tv,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,popcornflix.cam,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,vudu.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,xumo.tv,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,freeview.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,ReelGood.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Kanopy.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Xumo.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Rakuten.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Rakuten.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Cruchyroll.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Crackle.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Spotify.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,NoxTV.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,Tidal.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,youtube.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,music.youtube.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
DomainName,annas-archive.org,,Block,Informational,Streaming,Block streaming/entertainment,,,,,False
